observation_datetime,value
2025-08-19 11:00,65.97
2025-08-19 15:00,65.97
2025-09-30 07:00,65.99
2025-09-30 11:00,65.99
2025-10-01 09:00,65.92
2025-10-01 11:00,66.06
2025-10-01 12:00,66.20
2025-10-01 13:00,65.92
2025-10-01 15:00,66.06
2025-10-01 16:00,66.20
2025-10-13 07:00,65.08
2025-10-13 11:00,65.08
2025-10-24 12:00,65.00
2025-10-24 13:00,64.99
2025-10-24 16:00,65.00
2025-10-24 17:00,64.99
2025-10-30 05:00,64.94
2025-10-30 09:00,64.94
2025-10-30 12:00,65.19
2025-10-30 14:00,65.19
2025-10-30 15:00,65.19
2025-10-30 16:00,65.19
2025-10-30 18:00,65.19
2025-10-30 19:00,65.19
2025-11-05 02:00,65.22
2025-11-05 07:00,65.22
2025-11-19 02:00,64.35
2025-11-19 07:00,64.35
2025-12-02 21:00,63.44
2025-12-03 02:00,63.44
2025-12-05 08:00,63.63
2025-12-05 13:00,63.91
2025-12-11 09:00,62.77
2025-12-11 14:00,62.77
2025-12-12 10:00,62.88
2025-12-12 15:00,62.88
2026-01-14 07:00,64.33
2026-01-14 12:00,64.48
2026-01-14 17:00,64.48
2026-01-21 09:00,64.29
2026-01-21 10:00,64.29
2026-01-21 14:00,64.29
2026-01-21 15:00,64.29
2026-01-29 11:00,65.82
2026-01-29 16:00,65.82
2026-03-18 08:00,74.86
2026-03-18 12:00,75.26
2026-03-18 16:00,75.26
2026-03-19 10:00,76.30
2026-03-19 11:00,75.85
2026-03-19 12:00,72.91
2026-03-19 14:00,76.30
2026-03-19 15:00,75.85
2026-03-19 16:00,72.91
