observation_datetime,value
2024-12-13 11:00,64.47
2024-12-13 16:00,64.47
2025-02-18 11:00,65.00
2025-02-18 16:00,65.00
2025-05-15 02:00,61.50
2025-05-15 06:00,61.50
2025-05-22 09:00,61.05
2025-05-22 13:00,61.05
2025-06-06 11:00,62.00
2025-06-06 12:00,61.80
2025-06-06 15:00,62.00
2025-06-06 16:00,61.80
2025-07-29 09:00,63.70
2025-07-29 13:00,63.70
2025-07-29 14:00,64.10
2025-07-29 18:00,64.10
2025-07-31 10:00,63.50
2025-07-31 14:00,63.50
2025-08-01 10:00,62.34
2025-08-01 14:00,62.34
2025-09-05 08:00,61.32
2025-09-05 12:00,61.32
2025-10-03 07:00,60.60
2025-10-03 11:00,60.69
2025-10-21 09:00,59.26
2025-10-21 13:00,59.26
2025-10-21 15:00,59.15
2025-10-21 19:00,59.15
2025-12-08 11:00,58.69
2025-12-08 16:00,58.69
2025-12-18 16:00,57.03
2025-12-18 21:00,57.03
2026-01-06 20:00,57.12
2026-01-07 01:00,57.12
2026-01-09 11:00,58.35
2026-01-09 16:00,58.35
2026-01-13 11:00,59.30
2026-01-13 16:00,59.30
2026-01-14 14:00,60.21
2026-01-14 15:00,59.97
2026-01-14 19:00,60.21
2026-01-14 20:00,59.97
2026-01-16 14:00,58.74
2026-01-16 19:00,58.74
2026-01-21 11:00,59.72
2026-01-21 13:00,59.73
2026-01-21 14:00,59.76
2026-01-21 16:00,59.72
2026-01-21 18:00,59.73
2026-01-21 19:00,59.76
2026-01-22 14:00,59.09
2026-01-22 19:00,59.09
2026-01-23 09:00,60.12
2026-01-23 10:00,60.15
2026-01-23 12:00,59.92
2026-01-23 14:00,60.12
2026-01-23 15:00,60.15
2026-01-23 17:00,59.92
2026-01-26 11:00,59.76
2026-01-26 16:00,59.76
2026-01-28 09:00,60.72
2026-01-28 14:00,60.65
2026-01-28 19:00,60.65
2026-01-29 05:00,61.24
2026-01-29 10:00,61.24
2026-01-29 14:00,61.40
2026-01-29 15:00,61.33
2026-01-29 19:00,61.40
2026-01-29 20:00,61.33
2026-01-30 14:00,61.48
2026-01-30 19:00,61.48
2026-02-02 03:00,59.56
2026-02-02 08:00,59.56
2026-02-03 21:00,60.41
2026-02-04 02:00,60.25
2026-02-04 07:00,60.25
2026-02-04 12:00,61.35
2026-02-04 15:00,60.88
2026-02-04 17:00,61.35
2026-02-04 20:00,60.88
2026-02-05 07:00,60.73
2026-02-05 10:00,60.12
2026-02-05 12:00,60.73
2026-02-05 15:00,60.41
2026-02-05 20:00,60.41
2026-02-06 12:00,60.78
2026-02-06 17:00,60.78
2026-02-11 11:00,61.35
2026-02-11 13:00,61.25
2026-02-11 15:00,61.44
2026-02-11 16:00,61.35
2026-02-11 18:00,61.25
2026-02-11 20:00,61.44
2026-02-12 04:00,61.20
2026-02-12 09:00,61.20
2026-02-12 10:00,60.63
2026-02-12 15:00,60.32
2026-02-12 20:00,60.32
2026-02-13 06:00,60.14
2026-02-13 11:00,60.14
2026-02-17 10:00,59.81
2026-02-17 14:00,60.16
2026-02-17 15:00,59.81
2026-02-17 19:00,60.16
2026-02-18 10:00,60.93
2026-02-18 12:00,60.95
2026-02-18 15:00,60.93
2026-02-18 17:00,60.95
2026-02-19 10:00,61.25
2026-02-19 11:00,61.58
2026-02-19 12:00,61.57
2026-02-19 15:00,61.25
2026-02-19 16:00,61.58
2026-02-19 17:00,61.57
2026-02-20 14:00,61.55
2026-02-20 19:00,61.53
2026-02-23 10:00,62.00
2026-02-23 11:00,61.88
2026-02-23 12:00,61.54
2026-02-23 14:00,61.66
2026-02-23 15:00,62.00
2026-02-23 16:00,61.88
2026-02-23 17:00,61.54
2026-02-23 19:00,61.66
2026-02-24 07:00,61.98
2026-02-24 10:00,61.80
2026-02-24 12:00,61.98
2026-02-24 14:00,61.73
2026-02-24 15:00,62.01
2026-02-24 19:00,61.73
2026-02-24 20:00,62.01
2026-02-25 07:00,61.82
2026-02-25 12:00,61.82
2026-02-26 07:00,60.69
2026-02-26 10:00,61.75
2026-02-26 12:00,60.69
2026-02-26 13:00,61.48
2026-02-26 14:00,60.91
2026-02-26 15:00,61.75
2026-02-26 18:00,61.48
2026-02-26 19:00,60.91
2026-02-27 11:00,61.50
2026-02-27 12:00,61.51
2026-02-27 13:00,61.61
2026-02-27 14:00,61.81
2026-02-27 15:00,61.73
2026-02-27 16:00,61.50
2026-02-27 17:00,61.51
2026-02-27 18:00,61.61
2026-02-27 19:00,61.81
2026-02-27 20:00,61.73
2026-03-02 07:00,63.08
2026-03-02 12:00,63.08
2026-03-03 14:00,62.13
2026-03-03 19:00,62.13
2026-03-03 21:00,61.82
2026-03-04 02:00,61.82
2026-03-04 10:00,62.70
2026-03-04 14:00,63.09
2026-03-04 15:00,62.70
2026-03-04 19:00,63.09
2026-03-05 01:00,63.43
2026-03-05 03:00,63.99
