observation_datetime,value
2026-02-05 17:00,64.42
2026-02-06 09:00,64.89
2026-02-23 05:00,66.00
2026-02-25 15:00,66.59
2026-02-26 10:00,65.98
2026-02-27 10:00,67.10
2026-02-27 12:00,67.38
2026-02-27 15:00,67.50
2026-02-27 19:00,67.65
2026-03-02 07:00,69.71
2026-03-02 16:00,68.45
2026-03-02 19:00,68.40
2026-03-03 14:00,69.50
2026-03-03 15:00,69.20
2026-03-05 15:00,70.10
2026-03-09 01:00,76.51
2026-03-09 03:00,78.36
2026-03-09 16:00,72.90
2026-03-09 18:00,73.87
2026-03-10 16:00,72.37
2026-03-11 14:00,73.38
2026-03-12 02:00,75.83
2026-03-12 10:00,75.47
2026-03-18 11:00,79.46
2026-03-18 13:00,81.20
2026-03-18 14:00,81.05
2026-03-19 10:00,82.07
2026-03-19 14:00,82.10
2026-03-19 15:00,82.20
2026-03-20 16:00,82.65
2026-03-23 13:00,78.95
2026-03-26 01:00,79.62
2026-03-27 19:00,80.84
2026-03-30 00:00,82.21
2026-03-31 01:00,79.68
2026-03-31 02:00,80.05
2026-03-31 05:00,80.22
2026-04-01 12:00,75.64
2026-04-02 01:00,75.78
2026-04-07 23:00,74.01
2026-04-09 06:00,77.34
2026-04-12 23:00,80.07
2026-04-13 15:00,80.66
2026-04-13 16:00,80.37
2026-04-13 18:00,80.20
2026-04-14 09:00,80.51
2026-04-17 14:00,76.31
2026-04-19 22:00,77.90
2026-04-23 14:00,80.36
2026-04-26 22:00,82.17
2026-05-01 16:00,82.55
2026-05-01 17:00,82.60
2026-05-04 12:00,84.48
2026-05-04 13:00,84.70
2026-05-04 18:00,85.59
2026-05-05 23:00,84.02
2026-05-07 13:00,79.06
2026-05-10 23:00,84.41
2026-05-11 00:00,84.70
2026-05-11 08:00,83.70
2026-05-11 14:00,83.45
2026-05-11 15:00,84.00
2026-05-13 08:00,85.93
2026-05-13 09:00,86.11
2026-05-13 11:00,85.99
2026-05-13 12:00,85.64
2026-05-13 13:00,85.39
2026-05-13 14:00,85.75
2026-05-15 01:00,84.96
2026-05-15 02:00,84.70
2026-05-18 00:00,85.91
2026-05-18 01:00,86.58
2026-05-18 14:00,86.20
2026-05-18 18:00,86.69
