observation_datetime,value
2026-04-07 02:00,77.38
2026-04-07 06:00,77.38
2026-04-07 16:00,76.16
2026-04-07 20:00,76.16
2026-04-14 09:00,78.56
2026-04-14 13:00,78.56
2026-04-17 12:00,75.23
2026-04-17 16:00,75.41
2026-04-22 10:00,77.74
2026-04-22 11:00,78.20
2026-04-22 14:00,77.74
2026-04-22 15:00,78.20
2026-04-24 08:00,79.26
2026-04-24 12:00,79.26
2026-04-27 07:00,79.79
2026-04-27 11:00,79.79
2026-04-28 04:00,81.45
2026-04-28 08:00,81.45
2026-04-30 01:00,81.45
2026-04-30 05:00,81.45
2026-05-01 02:00,81.50
2026-05-01 06:00,81.50
2026-05-01 14:00,80.63
2026-05-01 18:00,80.65
2026-05-04 12:00,83.75
2026-05-04 16:00,83.75
2026-05-05 03:00,83.22
2026-05-05 04:00,83.29
2026-05-05 05:00,83.14
2026-05-05 07:00,83.22
2026-05-05 08:00,83.29
2026-05-05 09:00,83.14
2026-05-13 13:00,82.69
2026-05-13 17:00,82.69
2026-05-29 04:00,79.49
2026-06-01 04:00,80.70
2026-06-05 02:00,80.59
2026-07-06 02:00,71.73
2026-07-06 09:00,71.73
2026-07-06 10:00,71.36
2026-07-07 09:00,72.23
2026-07-14 01:00,77.20
2026-07-14 10:00,76.49
2026-07-15 10:00,77.45
2026-07-16 10:00,77.63
2026-07-21 09:00,78.70
2026-07-24 09:00,79.53
2026-07-28 10:00,76.25
2026-07-29 02:00,76.27
2026-08-04 09:00,73.78
2026-08-13 10:00,77.52
2026-08-13 22:00,78.12
2026-08-14 02:00,78.49
2026-08-14 10:00,78.58
2026-08-16 21:00,78.34
2026-08-24 02:00,80.71
2026-08-24 05:00,80.64
2026-09-01 02:00,80.98
2026-09-01 09:00,81.03
2026-09-02 02:00,81.92
2026-09-02 09:00,81.52
